epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1146.34,1.50552,1.31951,0.02224,0.64437,0.46869,0.50261,0.25511,1.78839,1.63684,0.04084,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
31,1183.12,1.47652,1.26953,0.02158,0.63247,0.7678,0.78093,0.46593,1.50534,1.03456,0.02888,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
32,1219.69,1.46512,1.27228,0.02115,0.43124,0.21919,0.27102,0.11883,1.92725,3.50691,0.0426,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
33,1256.28,1.46524,1.32573,0.02164,0.65983,0.47151,0.54117,0.25923,1.82411,1.97489,0.03772,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
34,1292.91,1.44451,1.26519,0.02087,0.69228,0.76132,0.75167,0.39254,1.6962,1.07127,0.03356,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466
35,1329.57,1.46197,1.27078,0.02143,0.53324,0.79999,0.70729,0.4079,1.61262,1.20367,0.03352,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
36,1365.99,1.42782,1.26607,0.0207,0.61563,0.61839,0.63947,0.33907,1.73727,1.427,0.03509,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
37,1402.73,1.45712,1.25846,0.02129,0.70927,0.67814,0.75214,0.46775,1.45395,1.0441,0.02695,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
38,1439.41,1.43181,1.26354,0.02042,0.71078,0.80495,0.79426,0.47229,1.5028,1.03788,0.0277,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674
39,1476.29,1.42415,1.24878,0.0209,0.61391,0.73733,0.70126,0.372,1.50459,1.43843,0.03036,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
40,1513.03,1.42466,1.21782,0.02065,0.52582,0.71391,0.66209,0.40995,1.5907,1.28296,0.03014,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278
41,1550.28,1.42125,1.20895,0.02048,0.67173,0.7203,0.75147,0.34326,1.81378,1.3398,0.03659,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
42,1588,1.40729,1.22772,0.02064,0.66769,0.68963,0.70745,0.39904,1.5355,1.44568,0.03173,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882
43,1626.2,1.42289,1.21937,0.02042,0.79924,0.68112,0.77621,0.44838,1.62241,1.12371,0.03131,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684
44,1663.94,1.42113,1.21357,0.02018,0.78447,0.74269,0.78512,0.41819,1.6088,1.09315,0.03132,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486
45,1701.21,1.4013,1.21968,0.02011,0.65133,0.77009,0.80987,0.43806,1.50654,1.11505,0.03017,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288
46,1739.1,1.41047,1.20804,0.02015,0.76125,0.66231,0.7746,0.43275,1.6377,1.08719,0.03327,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
47,1777.37,1.39636,1.22458,0.0202,0.89296,0.2486,0.31785,0.17538,2.06848,3.08574,0.0437,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892
48,1814.82,1.42766,1.22543,0.02037,0.62742,0.74571,0.76382,0.42252,1.65978,1.04323,0.03312,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694
49,1852.84,1.39827,1.20448,0.0202,0.56817,0.69721,0.66208,0.38871,1.62401,1.14866,0.03146,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496
50,1890.16,1.37882,1.1986,0.01985,0.65058,0.68362,0.71183,0.40087,1.52767,1.36245,0.0297,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298
51,1928.12,1.37776,1.1388,0.01967,0.74527,0.70037,0.76148,0.46848,1.47684,1.0987,0.02963,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
52,1964.87,1.36727,1.1634,0.01969,0.59486,0.73981,0.7174,0.42312,1.51645,1.03877,0.0306,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902
53,2002,1.38691,1.1425,0.01987,0.65329,0.71278,0.73402,0.41022,1.6426,1.02092,0.03123,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704
54,2039.42,1.38642,1.16318,0.02,0.51704,0.46032,0.4758,0.2672,1.72732,2.12677,0.03533,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506
55,2076.82,1.36893,1.1221,0.01957,0.72837,0.63293,0.68428,0.42745,1.61498,1.08986,0.03186,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308
56,2113.71,1.36925,1.15349,0.01968,0.67157,0.70572,0.69053,0.39688,1.50247,1.44769,0.02869,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
57,2150.78,1.3713,1.14788,0.01965,0.7302,0.67126,0.69881,0.42305,1.58158,1.10611,0.03044,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912
58,2187.91,1.36604,1.13502,0.01964,0.7125,0.61879,0.73341,0.41489,1.53673,1.24925,0.0312,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714
59,2225.7,1.37718,1.1096,0.01981,0.62363,0.70443,0.66303,0.36066,1.63889,1.14117,0.03484,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516
60,2263.72,1.35571,1.09612,0.0193,0.65643,0.74274,0.76219,0.44431,1.567,1.24466,0.03093,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318
61,2301.65,1.34084,1.10942,0.01927,0.62317,0.80278,0.75342,0.46484,1.57026,1.00204,0.02938,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
62,2341.22,1.34424,1.12814,0.01944,0.78296,0.66302,0.80593,0.46253,1.55821,1.06872,0.02985,0.0263766,0.0087922,0.0263766,0.0087922,0.0263766,0.0087922,0.0263766,0.0087922
63,2380.32,1.36369,1.116,0.01966,0.64742,0.67945,0.71179,0.3964,1.61436,1.10082,0.03174,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724
