fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste,close_mosaic
0.48838,0.00117,0.01025,0.9263,0.00096,3.35481,0.70033,8.14615,0.46763,4.17652,0.00562,0.70372,0.45833,0.00154,0.09588,0.5771,0.00016,0.0,0.00455,0.50119,0.00874,0.95958,9e-05,0.00163,0.00234,10
0.50812,0.00158,0.01015,0.95096,0.001,5.0,0.52139,7.51894,0.51256,2.404,0.00942,0.48886,0.52887,0.00435,0.09501,0.53321,0.00082,0.00014,0.00907,0.48907,0.0075,1.0,0.00067,0.00206,0.0046,7
0.43722,0.00203,0.01215,0.96901,0.00086,3.34678,0.71214,5.41727,0.45026,2.04576,0.01329,0.71917,0.32491,0.00227,0.15015,0.54283,0.00158,0.00054,0.00873,0.85603,0.0,0.79978,0.00087,0.00366,0.00546,10
0.47843,0.00175,0.01257,0.98,0.00098,3.23277,0.60284,8.19656,0.50859,1.30442,0.01514,0.68922,0.42541,0.00415,0.1189,0.81832,0.00139,0.00016,0.00364,0.37723,0.00754,0.93355,0.00152,0.00076,0.00285,10
0.45286,0.00303,0.01135,0.87974,0.00049,4.26645,0.70176,6.41969,0.52444,2.99483,0.00916,0.68558,0.53125,0.0031,0.11873,0.4805,0.0008,0.00015,0.00465,0.66038,0.00244,0.98145,0.0007,0.00345,0.00137,7
0.42932,0.00209,0.01,0.9197,0.00092,3.54588,0.67715,7.60797,0.45328,3.65321,0.01375,0.44781,0.39224,0.00216,0.07154,0.69689,0.00027,0.00037,0.00726,0.67864,0.00575,0.84566,0.00104,0.00154,0.00215,7
0.46118,0.0027,0.01158,0.92425,0.00066,3.83059,0.70267,5.88929,0.50322,3.85967,0.01738,0.41903,0.37963,0.00324,0.11461,0.95,0.00143,2e-05,0.0107,0.61837,0.00417,0.65829,4e-05,0.00051,0.00169,9
0.43278,0.00376,0.01126,0.92771,0.00097,3.69119,0.68478,5.67066,0.42562,3.38673,0.00671,0.4799,0.46695,0.0015,0.10271,0.6335,0.00061,6e-05,0.00368,0.50334,0.00356,0.8526,0.00063,0.00158,0.0028,10
0.44303,0.00512,0.01299,0.88925,0.00074,4.42564,0.61188,7.23686,0.45585,2.86703,0.01663,0.9,0.41524,0.00409,0.09585,0.95,0.00209,0.00022,0.00875,0.37989,0.00535,0.93826,0.00113,0.00344,0.00482,9
0.36362,0.00432,0.01151,0.9793,0.00073,4.28914,0.9039,5.8629,0.52492,2.87478,0.00716,0.68875,0.36691,0.00454,0.10833,0.56179,0.00079,0.00033,0.00495,0.59561,0.00611,0.97871,0.0014,0.00091,0.00175,10
0.44362,0.00267,0.01237,0.98,0.00063,3.59066,0.68619,5.90937,0.64212,0.8171,0.01076,0.614,0.46314,0.00128,0.08404,0.42056,0.00269,8e-05,0.00451,0.41484,0.00666,0.775,0.00041,0.00081,0.00436,10
0.41255,0.00266,0.01001,0.91935,0.00063,3.79221,0.72248,6.79754,0.62117,1.61943,0.01395,0.46334,0.41451,0.00251,0.12141,0.95,0.00157,0.00033,0.00815,0.58312,0.0051,0.65604,1e-05,0.002,0.00258,10
0.48299,0.00119,0.01,0.8942,0.00095,5.0,0.83365,8.61836,0.46061,4.39805,0.01196,0.59971,0.63737,0.00435,0.10603,0.53437,0.00051,0.0,0.00575,0.39203,0.00632,1.0,0.00114,0.00344,0.00412,7
0.44429,0.00278,0.01224,0.98,0.00069,4.24581,0.75454,5.91067,0.39781,3.58992,0.00951,0.63195,0.47118,0.00472,0.11745,0.77572,0.0,0.00013,0.00835,0.78349,0.00904,0.83034,0.00022,0.00367,0.00255,6
0.47065,0.00169,0.01027,0.98,0.00077,3.60626,0.7153,4.47236,0.50093,2.49798,0.00883,0.80046,0.54229,0.00157,0.09719,0.43894,0.00184,0.00012,0.00346,0.48666,0.01074,1.0,0.0009,0.00336,0.00257,9
0.40984,0.00206,0.01072,0.98,0.00069,4.34007,0.63802,8.81181,0.37058,2.44915,0.0123,0.4874,0.52092,0.00176,0.10819,0.55899,0.00229,0.00016,0.00408,0.49239,0.00519,0.87438,0.00125,0.00364,0.00337,8
0.45924,0.00204,0.01087,0.84721,0.00053,5.0,0.87083,6.30567,0.6451,2.22699,0.01143,0.69974,0.55379,0.0036,0.10419,0.54564,0.00306,3e-05,0.00414,0.61955,0.0084,0.92124,0.00146,0.0015,0.00521,10
0.46371,0.0014,0.0101,0.89392,0.00098,4.23299,0.80881,8.39679,0.4255,2.90244,0.00926,0.56409,0.4887,0.00291,0.09638,0.46365,0.00039,0.00013,0.00829,0.39391,0.00876,0.81607,0.00075,0.00272,0.00496,8
0.44663,0.00106,0.01071,0.98,0.00096,4.34401,0.82075,8.62219,0.50634,2.16297,0.01506,0.46219,0.57633,0.00221,0.10226,0.52522,0.00066,0.00015,0.00252,0.70383,0.00663,0.99521,0.00035,0.00206,0.00199,7
0.45595,0.00169,0.01176,0.94752,0.00054,3.58744,0.88393,8.02531,0.51434,2.69299,0.0171,0.57899,0.49128,0.00425,0.09843,0.48882,0.00092,0.00013,0.00454,0.33995,0.00722,0.99388,0.00154,0.00335,0.00367,8
0.47721,0.00125,0.01,0.89048,0.00074,4.13958,0.81345,5.92623,0.51743,1.7633,0.01332,0.68087,0.3914,0.00135,0.10593,0.52026,0.00199,6e-05,0.00534,0.36443,0.00703,1.0,0.00179,0.00095,0.00495,7
0.47777,0.00143,0.01458,0.93905,0.0006,4.83857,0.80148,6.77756,0.50669,1.67957,0.00801,0.68562,0.60471,0.00283,0.10497,0.52329,0.00147,5e-05,0.00603,0.47207,0.00432,1.0,0.00064,0.00148,0.00046,6
0.45721,0.00118,0.01368,0.98,0.001,4.92743,0.58654,7.06439,0.52546,4.38595,0.00921,0.7992,0.58974,0.0011,0.11212,0.51454,0.00059,0.0001,0.00374,0.35124,0.00661,1.0,0.00172,0.00106,0.00283,10
0.461,0.00052,0.01354,0.98,0.00096,4.41435,0.71636,8.29258,0.45318,1.74748,0.01435,0.70777,0.7198,0.00403,0.11638,0.54677,0.00049,0.00016,0.01018,0.62992,0.0046,0.90311,0.00149,0.00365,0.00265,9
0.44522,0.00109,0.01,0.97728,0.00064,5.0,0.52248,7.76644,0.44434,0.7373,0.00803,0.63798,0.66298,0.00354,0.08074,0.52756,0.00131,0.00016,0.00409,0.46425,0.00191,0.98222,0.00062,0.0036,0.00265,7
0.46498,0.00219,0.01088,0.90887,0.00078,4.07895,0.76809,7.30546,0.52811,3.26708,0.01005,0.73825,0.44019,0.00396,0.12554,0.64066,0.00024,0.00015,0.00455,0.46256,0.00703,0.94802,0.00139,0.00356,0.00221,8
