epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,991.074,1.49087,1.41019,0.02201,0.49359,0.5516,0.55503,0.25851,1.76596,1.72339,0.03675,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
31,1021.69,1.46856,1.34609,0.02136,0.71895,0.6359,0.69556,0.37228,1.6649,1.2516,0.03323,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
32,1051.82,1.47916,1.34966,0.02126,0.82178,0.67205,0.77267,0.39316,1.56919,1.35622,0.03134,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
33,1081.87,1.47453,1.40374,0.02196,0.60435,0.63602,0.5851,0.29565,1.74193,1.52617,0.03661,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
34,1111.69,1.45869,1.36762,0.02099,0.69453,0.71961,0.72267,0.37207,1.64696,1.2555,0.03598,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466
35,1142.05,1.46407,1.36395,0.02133,0.64306,0.69597,0.69513,0.36891,1.64331,1.3367,0.03236,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
36,1173.51,1.43109,1.3338,0.02075,0.66589,0.62181,0.73775,0.3664,1.62854,1.23126,0.03399,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
37,1207.1,1.45367,1.34461,0.02123,0.55905,0.55578,0.65597,0.34293,1.73343,1.55258,0.0363,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
38,1238.45,1.44788,1.34064,0.02086,0.67491,0.71798,0.75847,0.45694,1.52167,1.0885,0.03015,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674
39,1271.33,1.44562,1.31819,0.0212,0.57944,0.72807,0.74305,0.37196,1.65316,1.1394,0.034,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
40,1302.07,1.43486,1.33534,0.02089,0.76892,0.66072,0.74317,0.42596,1.54048,1.30763,0.02901,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278
41,1331.2,1.41593,1.31593,0.02033,0.48481,0.66399,0.62646,0.37221,1.51328,1.38604,0.0308,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
42,1361.95,1.43345,1.30698,0.02102,0.79005,0.73623,0.77245,0.39714,1.78215,1.10847,0.03601,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882
43,1391.3,1.44673,1.31965,0.02085,0.70418,0.73675,0.72315,0.36103,1.64449,1.43166,0.03477,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684
44,1422.15,1.42957,1.29344,0.02038,0.7089,0.52795,0.64758,0.33143,1.70908,1.61175,0.03548,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486
45,1452.13,1.4322,1.30548,0.02076,0.75128,0.72542,0.76483,0.45619,1.45229,1.05253,0.02733,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288
46,1482.33,1.43148,1.28434,0.02046,0.59596,0.74514,0.70605,0.40991,1.51439,1.2529,0.02865,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
47,1512.36,1.40895,1.3081,0.02048,0.59488,0.78112,0.70711,0.42131,1.51775,1.12271,0.02971,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892
48,1542.21,1.44411,1.28251,0.0207,0.70994,0.6673,0.7317,0.38589,1.61888,1.23885,0.03011,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694
49,1571.96,1.42251,1.27326,0.02087,0.59212,0.64229,0.62925,0.31605,1.71716,1.3107,0.03731,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496
50,1602.56,1.41401,1.25986,0.02032,0.7973,0.76576,0.80486,0.43671,1.57207,1.18094,0.03205,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298
51,1632.35,1.41169,1.22801,0.02022,0.65705,0.47752,0.54081,0.31467,1.71887,1.79782,0.03801,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
52,1662.17,1.38989,1.25508,0.0202,0.5332,0.71485,0.66951,0.34931,1.90667,1.40212,0.04035,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902
53,1692.31,1.40886,1.2617,0.0201,0.73166,0.74109,0.77606,0.45692,1.45469,1.03677,0.02949,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704
54,1722.47,1.40975,1.26437,0.02041,0.71054,0.71437,0.72299,0.4146,1.47444,1.27236,0.02733,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506
55,1752.69,1.39344,1.22624,0.01998,0.57213,0.8007,0.69991,0.3636,1.54373,1.36239,0.03086,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308
56,1782.44,1.3848,1.25379,0.01997,0.84072,0.67081,0.77151,0.43192,1.66477,1.08781,0.03379,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
57,1812.52,1.40402,1.22799,0.02009,0.8232,0.64715,0.76828,0.43028,1.48215,1.20242,0.02931,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912
58,1842.43,1.39321,1.22103,0.02016,0.66611,0.64985,0.69736,0.41075,1.63622,1.35241,0.03426,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714
59,1872.66,1.40325,1.2073,0.02018,0.55183,0.67073,0.617,0.33509,1.68056,1.28276,0.0364,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516
60,1902.44,1.38882,1.22516,0.0198,0.63862,0.74762,0.72149,0.43532,1.52593,1.28418,0.02949,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318
61,1932.41,1.37573,1.17927,0.01985,0.69161,0.773,0.76108,0.44296,1.59002,1.08272,0.03168,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
62,1962.57,1.37896,1.21092,0.02,0.62013,0.7461,0.75846,0.4309,1.59831,1.1575,0.03303,0.0263766,0.0087922,0.0263766,0.0087922,0.0263766,0.0087922,0.0263766,0.0087922
63,1993.8,1.38678,1.23181,0.02008,0.57566,0.71415,0.71913,0.43401,1.54185,1.20424,0.02973,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724
64,2024.38,1.37874,1.22174,0.02012,0.70848,0.72568,0.73867,0.44166,1.57216,1.10535,0.03156,0.0262578,0.0087526,0.0262578,0.0087526,0.0262578,0.0087526,0.0262578,0.0087526
