epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1208.17,1.43342,0.95697,0.01787,0.59936,0.73342,0.75111,0.41232,1.57071,0.77862,0.02453,0.001884,0.001884,0.001884
43,1235.79,1.45398,0.97116,0.01813,0.7785,0.74149,0.79852,0.47087,1.51753,0.67304,0.02367,0.00187995,0.00187995,0.00187995
44,1263.08,1.45539,0.95144,0.0183,0.68164,0.70346,0.76651,0.39054,1.68062,0.78439,0.02731,0.0018759,0.0018759,0.0018759
45,1291.77,1.42565,0.94898,0.01797,0.67443,0.70653,0.739,0.44107,1.44257,0.78536,0.02347,0.00187186,0.00187186,0.00187186
46,1320.1,1.45653,0.95096,0.01817,0.81411,0.67768,0.81111,0.41078,1.52137,0.77611,0.02575,0.00186781,0.00186781,0.00186781
47,1349.74,1.45366,0.93018,0.01806,0.71399,0.74552,0.78099,0.43168,1.4866,0.76202,0.0249,0.00186376,0.00186376,0.00186376
48,1379.31,1.41718,0.94056,0.01741,0.68492,0.68179,0.77093,0.47314,1.4493,0.8004,0.02296,0.00185971,0.00185971,0.00185971
49,1408.65,1.44225,0.95659,0.01816,0.67128,0.75254,0.74402,0.43817,1.37826,0.75178,0.02207,0.00185566,0.00185566,0.00185566
50,1435.58,1.4247,0.91473,0.01772,0.63643,0.72063,0.76555,0.46892,1.46848,0.6429,0.0241,0.00185161,0.00185161,0.00185161
51,1464.3,1.41185,0.91087,0.01781,0.57124,0.64844,0.65252,0.37835,1.48293,0.84277,0.02316,0.00184756,0.00184756,0.00184756
52,1493.79,1.42527,0.91819,0.01784,0.65067,0.68437,0.72174,0.39072,1.59423,0.79414,0.02672,0.00184351,0.00184351,0.00184351
53,1521.42,1.42839,0.91322,0.01791,0.68669,0.79783,0.78707,0.44925,1.45399,0.70223,0.02186,0.00183947,0.00183947,0.00183947
54,1550.96,1.43134,0.9351,0.01787,0.78495,0.60818,0.77735,0.4329,1.42129,0.77656,0.02185,0.00183542,0.00183542,0.00183542
55,1579.88,1.39755,0.94409,0.01748,0.63958,0.78739,0.76525,0.40051,1.52412,0.74729,0.0253,0.00183137,0.00183137,0.00183137
56,1609.37,1.41347,0.89922,0.01766,0.63164,0.80931,0.74145,0.42953,1.36969,0.81275,0.0212,0.00182732,0.00182732,0.00182732
57,1637.04,1.39063,0.8985,0.01704,0.77879,0.7236,0.83705,0.45382,1.45987,0.74231,0.02344,0.00182327,0.00182327,0.00182327
58,1665.76,1.41595,0.91022,0.01726,0.76527,0.75959,0.83609,0.47111,1.3847,0.78622,0.02237,0.00181922,0.00181922,0.00181922
59,1695.73,1.42663,0.89155,0.01808,0.78567,0.66881,0.75856,0.40173,1.48867,0.82365,0.02312,0.00181517,0.00181517,0.00181517
60,1724.96,1.42736,0.89769,0.01761,0.66613,0.7339,0.75544,0.44565,1.53397,0.75659,0.02473,0.00181112,0.00181112,0.00181112
61,1754.04,1.4199,0.90471,0.01784,0.70313,0.74443,0.78584,0.44711,1.49379,0.71011,0.02368,0.00180708,0.00180708,0.00180708
62,1782.38,1.40731,0.89842,0.01772,0.70934,0.7369,0.79026,0.45464,1.49991,0.70758,0.02418,0.00180303,0.00180303,0.00180303
63,1812,1.40252,0.87834,0.01729,0.81099,0.80455,0.87312,0.47541,1.55486,0.66685,0.02581,0.00179898,0.00179898,0.00179898
64,1840.5,1.4002,0.88624,0.01784,0.66802,0.78881,0.77376,0.43241,1.5019,0.669,0.02449,0.00179493,0.00179493,0.00179493
65,1869.2,1.41029,0.89588,0.01789,0.73676,0.7153,0.77533,0.47238,1.36553,0.72863,0.0207,0.00179088,0.00179088,0.00179088
66,1897.16,1.38936,0.85695,0.01726,0.74452,0.71173,0.77648,0.43984,1.48617,0.76583,0.02414,0.00178683,0.00178683,0.00178683
67,1924.62,1.40161,0.90697,0.01736,0.63644,0.82456,0.77506,0.44464,1.50043,0.67821,0.02236,0.00178278,0.00178278,0.00178278
68,1953.91,1.39494,0.85154,0.01705,0.6673,0.78272,0.77011,0.44537,1.4781,0.71653,0.02256,0.00177873,0.00177873,0.00177873
69,1984.46,1.38312,0.88301,0.01722,0.70277,0.85895,0.77891,0.43491,1.53295,0.71882,0.02454,0.00177469,0.00177469,0.00177469
70,2012.75,1.42698,0.9103,0.0177,0.65789,0.7212,0.74857,0.44454,1.49865,0.73771,0.02243,0.00177064,0.00177064,0.00177064
71,2041.04,1.37645,0.8736,0.01705,0.67142,0.69643,0.74382,0.4372,1.46346,0.66447,0.02288,0.00176659,0.00176659,0.00176659
72,2068.75,1.39539,0.87711,0.01714,0.89252,0.57562,0.72289,0.45933,1.36797,0.7476,0.02125,0.00176254,0.00176254,0.00176254
73,2097.56,1.36536,0.86165,0.01672,0.62374,0.76869,0.71982,0.43894,1.41421,0.7181,0.02168,0.00175849,0.00175849,0.00175849
74,2124.94,1.42262,0.85956,0.01758,0.78154,0.69942,0.79432,0.45037,1.41765,0.7569,0.02356,0.00175444,0.00175444,0.00175444
75,2151.71,1.38992,0.82227,0.01708,0.80077,0.66499,0.76405,0.43046,1.48988,0.75162,0.02354,0.00175039,0.00175039,0.00175039
76,2179.37,1.38393,0.87127,0.01754,0.69816,0.67953,0.74567,0.44239,1.43746,0.73866,0.02149,0.00174634,0.00174634,0.00174634
77,2208.18,1.35844,0.82889,0.01689,0.67924,0.77039,0.75236,0.40485,1.42139,0.78622,0.02403,0.0017423,0.0017423,0.0017423
78,2235.82,1.36737,0.85434,0.0169,0.78319,0.73251,0.78156,0.47698,1.30919,0.71583,0.01893,0.00173825,0.00173825,0.00173825
79,2263.92,1.39298,0.86914,0.0173,0.65055,0.79952,0.82566,0.49398,1.47318,0.66689,0.02275,0.0017342,0.0017342,0.0017342
80,2294.72,1.39028,0.84142,0.01739,0.73095,0.68896,0.75992,0.43479,1.47866,0.72551,0.02393,0.00173015,0.00173015,0.00173015
81,2323.02,1.40277,0.85315,0.01717,0.72258,0.71838,0.77204,0.4487,1.46944,0.73647,0.02291,0.0017261,0.0017261,0.0017261
82,2350.57,1.3866,0.84198,0.01694,0.64429,0.68442,0.74771,0.41603,1.56689,0.84829,0.02555,0.00172205,0.00172205,0.00172205
83,2378.38,1.37938,0.85129,0.01687,0.72124,0.74513,0.80376,0.4786,1.47353,0.63218,0.02325,0.001718,0.001718,0.001718
84,2403.87,1.37869,0.8313,0.01664,0.68321,0.77543,0.79401,0.41172,1.57701,0.80003,0.02507,0.00171395,0.00171395,0.00171395
85,2432.48,1.35234,0.81351,0.01674,0.68205,0.74061,0.75195,0.39818,1.53854,0.7489,0.02427,0.00170991,0.00170991,0.00170991
