epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1416.14,1.48884,1.42957,0.03523,0.57106,0.65567,0.6317,0.32458,1.6323,1.48757,0.05118,0.00145176,0.00145176,0.00145176
43,1448.25,1.46304,1.42277,0.03408,0.83219,0.62858,0.74622,0.38271,1.5671,1.44685,0.05262,0.00144863,0.00144863,0.00144863
44,1482.38,1.46652,1.45056,0.0344,0.84201,0.7022,0.79891,0.41845,1.5852,1.23718,0.05235,0.0014455,0.0014455,0.0014455
45,1516.4,1.44594,1.41429,0.03356,0.67201,0.73176,0.75742,0.43462,1.60099,1.11946,0.05162,0.00144237,0.00144237,0.00144237
46,1549.71,1.44386,1.42152,0.03312,0.69738,0.74444,0.79463,0.40806,1.63663,1.12836,0.05327,0.00143924,0.00143924,0.00143924
47,1583,1.43957,1.41976,0.03325,0.66814,0.75543,0.74841,0.35508,1.59678,1.42107,0.05116,0.00143612,0.00143612,0.00143612
48,1616.6,1.46248,1.38393,0.03458,0.69776,0.66268,0.70125,0.33887,1.62231,1.40347,0.05299,0.00143299,0.00143299,0.00143299
49,1651.11,1.42591,1.3796,0.03303,0.66072,0.77973,0.75351,0.39667,1.70814,1.24991,0.05425,0.00142986,0.00142986,0.00142986
50,1687.45,1.47418,1.38273,0.0352,0.72281,0.73298,0.75495,0.40457,1.62995,1.07885,0.05243,0.00142673,0.00142673,0.00142673
51,1722.58,1.4508,1.38418,0.03437,0.75038,0.63038,0.73945,0.39714,1.71945,1.08957,0.0585,0.0014236,0.0014236,0.0014236
52,1756.48,1.45538,1.39942,0.03361,0.67559,0.72219,0.75816,0.43672,1.59758,1.11813,0.05018,0.00142048,0.00142048,0.00142048
53,1790.62,1.43632,1.42267,0.03396,0.74518,0.58416,0.71935,0.33149,1.6966,1.44486,0.05839,0.00141735,0.00141735,0.00141735
54,1825.25,1.43402,1.36871,0.03317,0.57822,0.657,0.67167,0.32065,1.70065,1.47729,0.05539,0.00141422,0.00141422,0.00141422
55,1859.82,1.4341,1.32994,0.033,0.56706,0.70294,0.64285,0.36359,1.68989,1.26612,0.0516,0.00141109,0.00141109,0.00141109
56,1895.24,1.44261,1.38497,0.03396,0.67638,0.71438,0.75299,0.4152,1.59433,1.19336,0.05318,0.00140796,0.00140796,0.00140796
57,1930.56,1.44161,1.34862,0.0337,0.76164,0.78039,0.78716,0.43394,1.52301,1.22115,0.04553,0.00140484,0.00140484,0.00140484
58,1964.23,1.44233,1.38087,0.03432,0.67554,0.76562,0.80494,0.4096,1.50226,1.2695,0.04867,0.00140171,0.00140171,0.00140171
59,1998,1.41857,1.33695,0.03332,0.61566,0.73897,0.72619,0.38378,1.54875,1.17641,0.05042,0.00139858,0.00139858,0.00139858
60,2031.91,1.44119,1.36391,0.03399,0.75028,0.70967,0.71671,0.39912,1.65684,1.18699,0.05185,0.00139545,0.00139545,0.00139545
61,2065.29,1.44017,1.341,0.03378,0.64826,0.62378,0.69351,0.36942,1.67019,1.26066,0.05226,0.00139232,0.00139232,0.00139232
62,2099.65,1.4205,1.3251,0.03273,0.67689,0.67259,0.70829,0.41156,1.46656,1.24758,0.04375,0.0013892,0.0013892,0.0013892
63,2133.59,1.42005,1.30804,0.03299,0.5805,0.74944,0.71343,0.405,1.53127,1.19551,0.04955,0.00138607,0.00138607,0.00138607
64,2167.56,1.42327,1.33035,0.03317,0.65382,0.65819,0.72544,0.40328,1.61832,1.24869,0.05286,0.00138294,0.00138294,0.00138294
65,2201.73,1.41682,1.31762,0.0333,0.57704,0.65073,0.69947,0.40441,1.58182,1.24793,0.05083,0.00137981,0.00137981,0.00137981
66,2235.78,1.4308,1.3331,0.03361,0.83974,0.6376,0.71491,0.41334,1.56773,1.11258,0.04984,0.00137668,0.00137668,0.00137668
67,2269.65,1.42937,1.34701,0.03356,0.62254,0.75137,0.75051,0.41743,1.53532,1.3316,0.04694,0.00137356,0.00137356,0.00137356
68,2303.78,1.44149,1.32492,0.03339,0.5353,0.61156,0.67669,0.40437,1.56012,1.28465,0.0508,0.00137043,0.00137043,0.00137043
69,2337.77,1.40464,1.35691,0.03269,0.67578,0.73166,0.74565,0.43543,1.53329,1.09044,0.05027,0.0013673,0.0013673,0.0013673
70,2371.92,1.39354,1.29843,0.03239,0.62046,0.7525,0.75148,0.41058,1.58974,1.16059,0.05226,0.00136417,0.00136417,0.00136417
71,2406.67,1.40425,1.33108,0.03298,0.65412,0.73033,0.72657,0.37886,1.51604,1.35213,0.04855,0.00136105,0.00136105,0.00136105
72,2440.63,1.41185,1.29689,0.0323,0.5834,0.77787,0.73447,0.40291,1.49075,1.15119,0.04602,0.00135792,0.00135792,0.00135792
